"Geneid"	"Phase1.IR1.1009.POOL.0003202425.5104.SL.0095"	"Phase1.IR1.1009.POOL.0003202427.5104.SL.0287"	".Phase1.IR1.1009.POOL.0003202429.5104.SL.0479"
"ENSG00000215914.3"	9	2	2
"ENSG00000008128.18"	394	161	241
"ENSG00000268575.1"	799	252	447
"ENSG00000227775.3"	26	25	34
"ENSG00000215790.2"	644	205	297
"ENSG00000008130.11"	13036	4674	7000
"ENSG00000078369.13"	8224	2905	4415
"ENSG00000231050.1"	43	9	16
"ENSG00000169885.5"	12	8	10
"ENSG00000178821.8"	6	4	2
"ENSG00000142609.13"	30	24	32
"ENSG00000233542.1"	3	2	1
"ENSG00000187730.6"	13	10	15
"ENSG00000226969.1"	1	1	1
"ENSG00000067606.11"	917	437	566
"ENSG00000271806.1"	23	20	23
"ENSG00000182873.4"	32	5	11
"ENSG00000162585.12"	512	177	293
"ENSG00000269554.1"	41	14	21
"ENSG00000203301.2"	4	7	2
"ENSG00000243558.1"	0	0	0
"ENSG00000234396.3"	0	2	3
"ENSG00000157933.9"	2835	774	1164
"ENSG00000116151.9"	389	182	237
"ENSG00000272161.1"	2	3	3
"ENSG00000269753.1"	0	3	4
"ENSG00000269896.1"	59	19	33
"ENSG00000238240.2"	0	0	0
"ENSG00000272420.1"	7	10	6
"ENSG00000271921.1"	3	2	0
"ENSG00000271847.1"	25	8	14
"ENSG00000178642.5"	3	1	5
"ENSG00000157916.14"	4153	2224	3289
"ENSG00000157911.5"	254	139	193
"ENSG00000149527.13"	617	134	217
"ENSG00000224387.1"	3	1	2
"ENSG00000229393.1"	3	0	1
"ENSG00000157881.9"	1945	608	872
"ENSG00000197921.5"	4	6	5
"ENSG00000272449.1"	408	203	333
"ENSG00000238164.2"	488	252	355
"ENSG00000157873.13"	4258	1728	2637
"ENSG00000225931.3"	128	38	46
"ENSG00000228037.1"	37	16	22
"ENSG00000157870.10"	331	92	181
"ENSG00000142606.11"	40	28	48
"ENSG00000237058.1"	2	1	0
"ENSG00000215912.7"	114	58	79
"ENSG00000233234.1"	2	1	3
"ENSG00000231630.1"	1	0	1
"ENSG00000169717.5"	3	1	1
"ENSG00000177133.6"	14	17	9
"ENSG00000256761.1"	0	0	0
"ENSG00000142611.12"	36	22	39
"ENSG00000226286.1"	0	2	0
"ENSG00000272235.1"	4	3	4
"ENSG00000130762.10"	12	11	28
"ENSG00000272088.1"	0	1	0
"ENSG00000162591.11"	3593	1208	1653
"ENSG00000207776.1"	2	1	0
"ENSG00000238260.1"	180	55	99
"ENSG00000158109.10"	2309	1099	1503
"ENSG00000116213.11"	1132	460	650
"ENSG00000078900.10"	34	22	29
"ENSG00000227589.1"	3	0	1
"ENSG00000235131.1"	1	1	0
"ENSG00000227372.6"	497	219	280
"ENSG00000162592.4"	12	7	10
"ENSG00000235169.3"	343	219	367
"ENSG00000130764.5"	1345	626	856
"ENSG00000266075.1"	2	0	1
"ENSG00000272153.1"	5	4	3
"ENSG00000116198.8"	1645	670	934
"ENSG00000169598.11"	660	307	548
"ENSG00000264428.1"	0	0	0
"ENSG00000198912.6"	860	454	697
"ENSG00000236423.1"	56	27	35
"ENSG00000233304.1"	3	10	5
"ENSG00000226374.1"	3	5	0
"ENSG00000229280.1"	2	1	2
"ENSG00000235054.1"	3	1	3
"ENSG00000227169.2"	0	1	0
"ENSG00000232596.1"	0	1	4
"ENSG00000196581.6"	78	53	78
"ENSG00000231510.1"	1	0	1
"ENSG00000260972.1"	1	1	0
"ENSG00000264341.1"	0	0	0
"ENSG00000236948.1"	4	3	5
"ENSG00000216045.2"	0	0	0
"ENSG00000264101.1"	0	1	4
"ENSG00000131697.13"	619	161	262
"ENSG00000266687.1"	2	3	3
"ENSG00000069424.10"	7165	1807	3042
"ENSG00000268332.1"	4	2	2
"ENSG00000116254.13"	36	30	43
"ENSG00000116251.5"	4805	3457	5610
"ENSG00000226944.1"	0	4	4
"ENSG00000158286.8"	122	52	74
"ENSG00000116237.11"	918	644	853
"ENSG00000225077.2"	4	4	4
"ENSG00000173673.7"	1	3	8
"ENSG00000158292.6"	88	44	36
"ENSG00000097021.15"	137	50	54
"ENSG00000271746.1"	21	30	39
"ENSG00000069812.7"	11	10	19
"ENSG00000187017.10"	186	154	216
"ENSG00000265392.1"	0	1	1
"ENSG00000231868.1"	3	2	2
"ENSG00000215788.5"	1749	668	1083
"ENSG00000171680.16"	171	63	75
"ENSG00000162408.10"	1308	660	1009
"ENSG00000253022.1"	0	1	0
"ENSG00000229519.2"	0	2	0
"ENSG00000173662.15"	5	3	6
"ENSG00000204859.7"	1647	497	815
"ENSG00000162413.12"	6277	1655	2361
"ENSG00000116273.5"	364	167	269
"ENSG00000041988.11"	396	200	302
"ENSG00000007923.11"	1021	438	668
"ENSG00000228750.1"	2	2	3
"ENSG00000239166.1"	0	0	0
"ENSG00000237436.1"	33	9	31
"ENSG00000171735.14"	604	349	488
"ENSG00000227950.1"	0	0	0
"ENSG00000237365.1"	1	1	1
"ENSG00000207056.1"	0	0	3
"ENSG00000237402.1"	1	3	2
"ENSG00000237728.1"	1	1	4
"ENSG00000225126.1"	0	2	2
"ENSG00000270171.1"	0	1	3
"ENSG00000270035.1"	4	2	2
"ENSG00000269978.1"	3	0	0
"ENSG00000049245.8"	2319	1593	2336
"ENSG00000269925.1"	100	57	88
"ENSG00000049246.10"	371	162	239
"ENSG00000236266.1"	41	29	63
"ENSG00000049247.9"	53	28	44
"ENSG00000049249.4"	314	143	266
"ENSG00000270330.1"	8	3	6
"ENSG00000116288.8"	2044	1525	2152
"ENSG00000200344.1"	0	0	0
"ENSG00000116285.8"	30	22	33
"ENSG00000238290.1"	6	6	3
"ENSG00000232848.1"	0	3	2
"ENSG00000229305.1"	2	5	4
"ENSG00000200975.1"	0	0	0
"ENSG00000227634.1"	2	0	1
"ENSG00000233645.1"	1	0	0
"ENSG00000265414.1"	0	0	0
"ENSG00000251977.1"	0	0	0
"ENSG00000162426.10"	25	11	16
"ENSG00000252254.1"	1	0	0
"ENSG00000142599.13"	4480	2018	3022
"ENSG00000232912.1"	209	71	177
"ENSG00000221083.1"	5	6	6
"ENSG00000270282.1"	0	0	0
"ENSG00000234619.1"	1	0	1
"ENSG00000224315.2"	36	15	32
"ENSG00000222511.1"	33	11	13
"ENSG00000226545.1"	0	1	0
"ENSG00000228423.2"	54	12	26
"ENSG00000229716.2"	0	1	0
"ENSG00000074800.9"	8623	5706	8413
"ENSG00000236269.1"	85	69	99
"ENSG00000230679.1"	34	11	23
"ENSG00000201725.1"	0	1	0
"ENSG00000238249.1"	3	5	3
"ENSG00000232208.2"	49	38	32
"ENSG00000232663.2"	0	0	0
"ENSG00000131686.10"	20	7	17
"ENSG00000265141.1"	13	6	8
"ENSG00000197241.3"	7	3	3
"ENSG00000142583.13"	76	74	83
"ENSG00000252404.1"	1	1	0
"ENSG00000180758.10"	296	141	208
"ENSG00000207865.1"	1	0	0
"ENSG00000228526.2"	11	2	5
"ENSG00000234546.2"	6	3	1
"ENSG00000049239.8"	2294	861	1235
"ENSG00000252841.1"	1	0	2
"ENSG00000171621.9"	80	28	54
"ENSG00000252956.1"	0	2	0
"ENSG00000235263.1"	1	0	0
"ENSG00000171612.6"	156	98	128
"ENSG00000231181.1"	25	3	11
"ENSG00000188807.8"	153	30	52
"ENSG00000171608.11"	15093	3926	6431
"ENSG00000179840.5"	57	24	27
"ENSG00000233268.3"	0	0	1
"ENSG00000231789.2"	2	1	4
"ENSG00000171603.12"	1829	499	761
"ENSG00000271264.1"	0	1	1
"ENSG00000178585.10"	383	138	253
"ENSG00000223989.1"	0	0	1
"ENSG00000162441.7"	773	456	769
"ENSG00000228150.1"	23	5	19
"ENSG00000173614.9"	536	392	514
"ENSG00000202415.1"	55	7	20
"ENSG00000265521.1"	4	1	0
"ENSG00000241326.1"	0	0	0
"ENSG00000162444.11"	210	113	221
"ENSG00000225786.2"	0	3	0
"ENSG00000130939.14"	3801	1472	2335
"ENSG00000224340.1"	0	0	1
"ENSG00000233623.2"	87	36	50
"ENSG00000201746.1"	22	7	21
"ENSG00000054523.12"	3879	2159	3150
"ENSG00000264881.1"	4	3	1
"ENSG00000199562.1"	29	14	20
"ENSG00000264501.1"	0	0	0
"ENSG00000265945.1"	2	6	6
"ENSG00000142657.16"	8675	5294	7001
"ENSG00000271989.1"	4	3	3
"ENSG00000175279.17"	49	18	28
"ENSG00000251503.3"	0	0	0
"ENSG00000241563.2"	7	1	8
"ENSG00000160049.7"	1036	778	1136
"ENSG00000203469.2"	2	4	3
"ENSG00000142655.8"	440	134	199
"ENSG00000243267.2"	10	3	0
"ENSG00000130940.10"	486	162	194
"ENSG00000272078.1"	10	21	30
"ENSG00000225158.2"	0	0	0
"ENSG00000175262.10"	33	12	16
"ENSG00000215785.2"	1	1	1
"ENSG00000264181.1"	0	1	1
"ENSG00000207213.1"	0	0	0
"ENSG00000120948.11"	4782	1635	2844
"ENSG00000009724.12"	7	7	7
"ENSG00000271895.1"	203	134	205
"ENSG00000116649.5"	143	39	77
"ENSG00000171824.9"	1372	798	1100
"ENSG00000226849.1"	72	27	27
"ENSG00000230337.1"	1	2	10
"ENSG00000198793.8"	3302	1451	2101
"ENSG00000225602.1"	0	2	3
"ENSG00000253086.1"	1	0	0
"ENSG00000271794.1"	12	6	7
"ENSG00000171819.4"	2	2	5
"ENSG00000207451.1"	0	0	0
"ENSG00000238173.1"	0	0	0
"ENSG00000120942.9"	740	344	560
"ENSG00000238199.1"	1	1	0
"ENSG00000224338.2"	1	1	0
"ENSG00000204624.6"	35	21	34
"ENSG00000235643.1"	1	4	0
"ENSG00000116661.9"	91	21	25
"ENSG00000132879.9"	401	159	282
"ENSG00000116663.6"	397	233	328
"ENSG00000116670.10"	354	222	373
"ENSG00000162490.6"	142	111	155
"ENSG00000177674.11"	2801	636	956
"ENSG00000215910.3"	8	17	14
"ENSG00000177553.6"	3	1	2
"ENSG00000177000.6"	2482	657	1000
"ENSG00000011021.17"	892	369	638
"ENSG00000242349.1"	47	12	19
"ENSG00000175206.6"	5	4	7
"ENSG00000120937.8"	1	0	1
"ENSG00000224904.1"	3	5	5
"ENSG00000199347.1"	13	156	27
"ENSG00000201801.1"	1	2	1
"ENSG00000116685.11"	2138	869	1311
"ENSG00000083444.12"	1205	481	652
"ENSG00000116688.12"	4431	2064	3489
"ENSG00000270914.1"	0	1	1
"ENSG00000116691.6"	982	760	1018
"ENSG00000202461.1"	0	0	0
"ENSG00000243539.2"	1	0	1
"ENSG00000120949.10"	627	251	334
"ENSG00000201135.1"	0	0	1
"ENSG00000227875.2"	0	0	2
"ENSG00000028137.12"	17769	6367	9445
"ENSG00000263676.1"	26	14	38
"ENSG00000225196.2"	0	2	0
"ENSG00000252969.1"	0	0	0
"ENSG00000048707.9"	10786	4923	6843
"ENSG00000239149.1"	72	39	96
"ENSG00000229484.1"	17	7	6
"ENSG00000162496.4"	660	262	422
"ENSG00000221340.1"	4	6	2
"ENSG00000272482.1"	12	6	5
"ENSG00000204518.2"	1	3	1
"ENSG00000226166.2"	0	0	0
"ENSG00000188984.7"	3	11	4
"ENSG00000238771.1"	0	0	0
"ENSG00000157330.5"	3	5	3
"ENSG00000116726.4"	7	3	5
"ENSG00000116721.9"	2	4	2
"ENSG00000228338.1"	0	0	0
"ENSG00000204513.5"	1	2	1
"ENSG00000231103.2"	5	2	5
"ENSG00000179172.7"	6	13	11
"ENSG00000120952.4"	3	2	6
"ENSG00000243073.3"	2	3	4
"ENSG00000187545.5"	1	3	0
"ENSG00000204510.1"	1	1	1
"ENSG00000207434.1"	2	0	3
"ENSG00000234064.1"	1	1	1
"ENSG00000232423.3"	1	2	4
"ENSG00000250894.1"	0	0	1
"ENSG00000204508.3"	0	0	0
"ENSG00000239810.2"	1	0	2
"ENSG00000270601.1"	0	0	0
"ENSG00000250113.1"	0	0	0
"ENSG00000204505.3"	0	0	0
"ENSG00000233336.1"	0	0	0
"ENSG00000229978.1"	0	0	0
"ENSG00000236179.1"	1	5	2
"ENSG00000179412.8"	0	6	2
"ENSG00000224199.1"	2	0	0
"ENSG00000229571.2"	1	2	7
"ENSG00000204503.5"	1	0	0
"ENSG00000233394.1"	0	0	1
"ENSG00000204502.2"	0	0	0
"ENSG00000231219.1"	1	0	0
"ENSG00000207511.1"	0	0	0
"ENSG00000182330.6"	0	0	0
"ENSG00000237700.1"	0	0	2
"ENSG00000204501.2"	0	0	0
"ENSG00000228229.2"	0	0	0
"ENSG00000204495.3"	0	0	1
"ENSG00000204491.2"	0	1	0
"ENSG00000204488.3"	0	0	0
"ENSG00000204486.3"	0	0	0
"ENSG00000204485.2"	0	0	0
"ENSG00000224581.1"	0	0	0
"ENSG00000157358.7"	0	0	0
"ENSG00000204481.6"	0	1	0
"ENSG00000204480.6"	0	0	0
"ENSG00000204479.4"	0	3	0
"ENSG00000204478.5"	2	2	0
"ENSG00000162494.5"	3	6	5
"ENSG00000259961.1"	2	0	3
"ENSG00000215909.3"	4	0	1
"ENSG00000162493.12"	11	14	13
"ENSG00000222952.1"	0	0	0
"ENSG00000266358.1"	0	1	2
"ENSG00000237445.2"	1	1	0
"ENSG00000253085.1"	3	3	0
"ENSG00000116731.18"	5018	2826	4031
"ENSG00000252151.1"	0	0	3
"ENSG00000231606.1"	0	0	0
"ENSG00000234593.1"	2	1	2
"ENSG00000189337.11"	370	151	225
"ENSG00000235829.1"	1	0	1
"ENSG00000175147.7"	8	5	6
"ENSG00000171729.9"	30	11	17
"ENSG00000204464.3"	1	0	0
"ENSG00000215720.4"	4	0	3
"ENSG00000142621.15"	56	24	27
"ENSG00000233485.1"	8	7	16
"ENSG00000236045.1"	9	1	2
"ENSG00000228140.1"	153	115	174
"ENSG00000142634.8"	11261	2982	4649
"ENSG00000162438.7"	19	6	7
"ENSG00000142615.7"	2	2	0
"ENSG00000215704.5"	2	1	4
"ENSG00000132906.13"	720	324	495
"ENSG00000116138.8"	1010	534	772
"ENSG00000251866.1"	22	4	7
"ENSG00000272510.1"	6	4	11
"ENSG00000116771.5"	178	116	189
"ENSG00000237301.1"	5	8	7
"ENSG00000235084.2"	22	8	12
"ENSG00000252417.1"	0	0	0
"ENSG00000236500.1"	1	0	0
"ENSG00000197312.7"	2595	1641	2455
"ENSG00000215695.1"	0	0	0
"ENSG00000271742.1"	0	1	0
"ENSG00000116786.7"	2161	378	650
"ENSG00000264048.1"	0	0	0
"ENSG00000237938.1"	3	1	2
"ENSG00000162461.7"	58	22	40
"ENSG00000224459.1"	0	2	2
"ENSG00000162460.6"	1	8	13
"ENSG00000162458.8"	10	8	9
"ENSG00000224321.1"	0	0	0
"ENSG00000233954.4"	15	14	12
"ENSG00000178715.7"	2	2	1
"ENSG00000179743.2"	526	316	480
"ENSG00000065526.6"	7604	4619	6893
"ENSG00000238818.1"	7	7	8
"ENSG00000270620.1"	1	1	0
"ENSG00000116809.7"	1219	464	681
"ENSG00000234607.2"	0	1	1
"ENSG00000231353.1"	0	0	0
"ENSG00000224966.4"	1	0	6
"ENSG00000183888.4"	2	2	4
"ENSG00000233078.1"	0	0	2
"ENSG00000173641.13"	2	3	6
"ENSG00000186510.7"	16	5	13
"ENSG00000232456.1"	2	3	3
"ENSG00000184908.13"	4	10	4
"ENSG00000185519.8"	9	8	5
"ENSG00000142627.9"	57	19	27
"ENSG00000227959.1"	0	2	1
"ENSG00000224621.1"	2	1	2
"ENSG00000234166.1"	2	0	0
"ENSG00000142632.12"	205	70	101
"ENSG00000237276.4"	69	29	36
"ENSG00000204377.3"	21	4	10
"ENSG00000132881.7"	125	30	56
"ENSG00000233929.1"	21	5	4
"ENSG00000037637.6"	2105	1116	1730
"ENSG00000055070.12"	3282	1068	1912
"ENSG00000226457.1"	0	0	2
"ENSG00000187144.7"	18	10	6
"ENSG00000157191.15"	4191	1516	2246
"ENSG00000226029.1"	617	203	340
"ENSG00000080947.10"	991	382	557
"ENSG00000206652.1"	26	65	60
"ENSG00000261135.1"	15	11	14
"ENSG00000224174.2"	2	2	0
"ENSG00000233421.3"	11	12	16
"ENSG00000268674.1"	0	3	1
"ENSG00000225710.1"	5	3	5
"ENSG00000266584.1"	0	0	0
"ENSG00000219481.6"	1932	1096	1487
"ENSG00000271732.1"	3	7	5
"ENSG00000215908.5"	2077	603	942
"ENSG00000186301.7"	81	44	99
"ENSG00000207513.1"	4	650	4
"ENSG00000237847.2"	0	1	0
"ENSG00000264742.1"	1	1	0
"ENSG00000236698.1"	24	3	1
"ENSG00000268869.1"	63	26	56
"ENSG00000268991.1"	0	0	1
"ENSG00000058453.12"	1581	369	623
"ENSG00000207389.1"	1	52	1
"ENSG00000227684.1"	13	5	12
"ENSG00000186715.6"	42	30	38
"ENSG00000223643.2"	1	0	2
"ENSG00000230239.1"	5	1	0
"ENSG00000263811.1"	1	0	0
"ENSG00000228549.2"	15	21	11
"ENSG00000238142.1"	97	77	145
"ENSG00000235241.1"	4	2	3
"ENSG00000207005.1"	36	31	73
"ENSG00000272426.1"	13	9	9
"ENSG00000117122.9"	7	1	8
"ENSG00000226526.1"	2	0	4
"ENSG00000159363.13"	672	136	224
"ENSG00000117118.5"	1462	984	1405
"ENSG00000117115.8"	4489	1580	2502
"ENSG00000252180.1"	1	1	0
"ENSG00000204362.5"	7	3	4
"ENSG00000142623.8"	7	5	9
"ENSG00000142619.4"	8	9	4
"ENSG00000266634.1"	0	0	0
"ENSG00000159339.9"	4655	1322	2073
"ENSG00000269468.1"	0	1	0
"ENSG00000256049.2"	7	6	18
"ENSG00000227751.1"	0	2	3
"ENSG00000179051.9"	2814	1272	1689
"ENSG00000266727.1"	0	0	0
"ENSG00000239020.1"	0	0	0
"ENSG00000074964.12"	1152	369	580
"ENSG00000236648.1"	1	0	1
"ENSG00000117148.6"	4	5	4
"ENSG00000261781.1"	1	7	3
"ENSG00000117154.7"	9	14	9
"ENSG00000230035.2"	1	0	1
"ENSG00000225387.1"	3	1	1
"ENSG00000179023.7"	22	13	15
"ENSG00000235282.2"	1	0	2
"ENSG00000225478.2"	0	0	0
"ENSG00000009709.7"	9	11	17
"ENSG00000179002.5"	2	3	0
"ENSG00000255275.3"	0	2	2
"ENSG00000159423.12"	51	21	35
"ENSG00000265606.1"	0	0	0
"ENSG00000221662.1"	4	0	0
"ENSG00000169991.6"	1054	577	885
"ENSG00000272084.1"	160	111	131
"ENSG00000127481.10"	13107	5609	8776
"ENSG00000266098.1"	30	14	25
"ENSG00000230424.1"	59	38	55
"ENSG00000127463.9"	1161	521	738
"ENSG00000053372.4"	388	250	359
"ENSG00000211454.9"	12	9	3
"ENSG00000162482.4"	28	10	12
"ENSG00000270728.1"	0	0	2
"ENSG00000053371.8"	482	320	426
"ENSG00000200403.1"	5	3	3
"ENSG00000040487.8"	405	87	155
"ENSG00000265192.1"	0	0	0
"ENSG00000077549.13"	5657	820	1425
"ENSG00000240490.2"	6	11	1
"ENSG00000201609.1"	0	0	1
"ENSG00000239027.1"	0	0	0
"ENSG00000235185.1"	2	0	0
"ENSG00000270136.1"	0	1	1
"ENSG00000173436.9"	874	402	628
"ENSG00000226396.1"	203	127	216
"ENSG00000158747.9"	35	22	14
"ENSG00000158748.3"	11	2	9
"ENSG00000162542.9"	885	281	459
"ENSG00000178828.5"	8	3	3
"ENSG00000235434.1"	2	0	0
"ENSG00000169914.5"	1042	593	881
"ENSG00000188784.4"	2	7	2
"ENSG00000242688.2"	0	3	1
"ENSG00000188257.6"	3	3	3
"ENSG00000127472.6"	3	9	6
"ENSG00000117215.10"	9	5	4
"ENSG00000158786.4"	9	13	10
"ENSG00000227066.1"	10	6	4
"ENSG00000187980.6"	29	15	14
"ENSG00000225986.1"	11	10	10
"ENSG00000162543.5"	124	103	117
"ENSG00000228105.1"	0	1	0
"ENSG00000158816.11"	26	10	20
"ENSG00000226664.1"	9	2	5
"ENSG00000236963.1"	8	6	6
"ENSG00000226487.1"	0	1	3
"ENSG00000162545.5"	16	20	17
"ENSG00000090432.5"	895	399	561
"ENSG00000215520.3"	0	2	0
"ENSG00000183114.6"	2	9	3
"ENSG00000158825.5"	1173	448	686
"ENSG00000158828.5"	5693	3368	4466
"ENSG00000117242.7"	303	106	168
"ENSG00000257033.1"	0	0	0
"ENSG00000244038.5"	2758	1714	2457
"ENSG00000117245.8"	16	11	25
"ENSG00000235432.1"	0	1	3
"ENSG00000189410.7"	7	23	18
"ENSG00000233069.1"	0	0	1
"ENSG00000127483.13"	8502	5117	6996
"ENSG00000203394.2"	1	2	1
"ENSG00000075151.15"	2799	1645	2208
"ENSG00000251914.1"	0	0	0
"ENSG00000221808.1"	22	9	24
"ENSG00000233072.1"	24	13	23
"ENSG00000236073.2"	38	14	14
"ENSG00000235112.1"	0	0	1
"ENSG00000266867.1"	3	0	1
"ENSG00000117298.10"	8474	2212	3341
"ENSG00000236936.1"	12	8	10
"ENSG00000231105.1"	87	19	43
"ENSG00000236216.4"	0	1	0
"ENSG00000228823.1"	2	0	0
"ENSG00000236009.1"	0	2	4
"ENSG00000227001.2"	23	22	13
"ENSG00000187952.8"	7	3	2
"ENSG00000186543.7"	4	4	3
"ENSG00000142794.14"	535	291	440
"ENSG00000176378.8"	0	1	1
"ENSG00000162551.9"	3694	1029	1621
"ENSG00000233431.1"	86	49	62
"ENSG00000221781.1"	0	0	0
"ENSG00000076864.15"	276	129	139
"ENSG00000090686.11"	5250	2822	3909
"ENSG00000231978.2"	0	0	0
"ENSG00000187942.7"	36	12	12
"ENSG00000142798.12"	146	73	96
"ENSG00000232037.2"	1	1	1
"ENSG00000219073.3"	0	1	2
"ENSG00000264385.1"	1	0	0
"ENSG00000263991.1"	3	2	1
"ENSG00000201919.1"	0	0	0
"ENSG00000142789.15"	3	5	0
"ENSG00000263582.1"	0	0	0
"ENSG00000263929.1"	0	0	1
"ENSG00000201273.1"	0	0	0
"ENSG00000228397.1"	4	1	14
"ENSG00000218510.3"	446	222	303
"ENSG00000070831.11"	12918	7662	11591
"ENSG00000230068.2"	387	234	405
"ENSG00000271428.1"	2	1	1
"ENSG00000271840.1"	865	539	743
"ENSG00000162552.10"	4	9	10
"ENSG00000266564.1"	1	0	1
"ENSG00000234397.3"	6	1	0
"ENSG00000184677.12"	3162	1536	2365
"ENSG00000237200.1"	29	14	18
"ENSG00000070886.6"	10	22	15
"ENSG00000173372.12"	99	106	109
"ENSG00000159189.7"	17	4	11
"ENSG00000173369.11"	33	33	41
"ENSG00000133216.12"	95	28	43
